Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Holden,Cruze,2014,No,"$1,200",,," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290014/2014-holden-cruze-sriv-1-6p6a-sl5s-sedan?referringPage=SearchResults
Toyota,Markx,2006,No,"$1,050",,," Engine Damage, Glass Broken, Ignition Damage, Structural Damage, Stolen & Recovered, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290024/2006-toyota-markx-sedan?referringPage=SearchResults
Triumph,Speedmaster,2012,No,$0,"43,825",," Structural Damage, Selling De-Registered","Manual,",,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290032/2012-triumph-speedmaster-a2-ml5-motorcycle?referringPage=SearchResults
Ford,Mondeo,2017,No,$800,"990,350",," Left Front Damage, Roof Damage, Rolled, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290033/2017-ford-mondeo-hatch?referringPage=SearchResults
Mitsubishi,Outlander,2009,No,$950,"153,817",," Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290036/2009-mitsubishi-outlander-station-wagon?referringPage=SearchResults
Toyota,Corolla,2000,No,$750,"229,423",," Front Damage, Structural Damage, Selling De-Registered","Manual,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290037/2000-toyota-corolla-l-touring-station-wagon?referringPage=SearchResults
Nissan,Navara,2007,No,"$2,250","372,663",," Engine Damage, Water Damage, Selling De-Registered","Automatic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007290039/2007-nissan-navara-2-5-2wd-d-c-w-s-ven-dual-cab-utility?referringPage=SearchResults
Toyota,Vitz,1999,Yes,$0,"265,150",," Glass Broken, Ignition Damage, Vandalised - Interior, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290040/1999-toyota-vitz-hatch?referringPage=SearchResults
Toyota,Prius,2015,No,$900,,," Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007290042/2015-toyota-prius-hatch?referringPage=SearchResults
Toyota,Prius,2017,No,,"210,345",," Front Damage, Left Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","CVT,",5.0,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007290052/2017-toyota-prius-hatch?referringPage=SearchResults
Nissan,March,2015,Yes,$0,,," Front Damage, Glass Broken, Ignition Damage, Left Side Damage, Rear Damage, Stolen & Recovered, Suspension Damage, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290059/2015-nissan-march-hatch?referringPage=SearchResults
Isuzu,D-max,2014,No,,"141,635",," Glass Broken, Has Key, Roof Damage, Rolled, Structural Damage, Selling De-Registered","5spd Manual,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007290080/2014-isuzu-d-max-ls-dc-u-dual-cab-utility?referringPage=SearchResults
Skoda,Octavia,2006,Yes,$0,"313,293",," Right Rear Damage, Selling Registered","Manual,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290087/2006-skoda-octavia-rs-2-0tfsi-sedan-ma-sedan?referringPage=SearchResults
Honda,Accord,2006,No,$0,"265,626",," Front Damage, Rear Damage, Roof Damage, Right Rear Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290091/2006-honda-accord-station-wagon?referringPage=SearchResults
Toyota,BB,2005,Yes,$0,"155,370",," Glass Broken, Ignition Damage, Left Side Damage, Right Side Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290100/2005-toyota-bb-hatch?referringPage=SearchResults
Toyota,Corolla,2015,No,,"108,749",," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290114/2015-toyota-corolla-gx-1-8p-cvt-ha-4dr--hatch?referringPage=SearchResults
Volkswagen,Golf,2011,No,,,," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007280113/2011-volkswagen-golf-gti-hatch?referringPage=SearchResults
Honda,Hr-v,2015,No,,"100,975",," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290122/2015-honda-hr-v-sport-1-8p-cvt-sw-5-station-wagon?referringPage=SearchResults
Toyota,Avensis,2015,No,"$1,200","79,188",," Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290126/2015-toyota-avensis-station-wagon?referringPage=SearchResults
Honda,Civic,2010,No,"$1,000",,," Left Rear Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270128/2010-honda-civic-sedan?referringPage=SearchResults
Toyota,Wish,2010,No,"$1,000",,," Right Rear Damage, Vandalised - Interior, Structural Damage, Stolen & Recovered, Selling De-Registered","Automatic,",7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290136/2010-toyota-wish-station-wagon?referringPage=SearchResults
Mitsubishi,Lancer,1999,No,$0,"136,073",," Left Front Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290141/1999-mitsubishi-lancer-1-8p-glxi-sedan-a-sedan?referringPage=SearchResults
Nissan,Tiida,2006,No,$0,"214,842",," Front Damage, Left Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290146/2006-nissan-tiida-1-8-petrol-hatch-st-hatch?referringPage=SearchResults
Mazda,MAZDA2,2015,No,$0,,," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290151/2015-mazda-mazda2-gsx-1-5p-6at-ha-5dr-hatch?referringPage=SearchResults
Honda,Civic,2005,No,"$1,000",,," Front Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290164/2005-honda-civic-hatch?referringPage=SearchResults
Toyota,Markx,2010,No,$800,"167,586",," Front Damage, Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290175/2010-toyota-markx-sedan?referringPage=SearchResults
Nissan,March,2007,No,$0,"158,238",," Right Side Damage, Structural Damage, Suspension Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290207/2007-nissan-march-hatch?referringPage=SearchResults
Toyota,Aqua,2015,No,"$1,000",,," Front Damage, Left Front Damage, Structural Damage, Suspension Damage, Selling De-Registered","Automatic,",5.0,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007290234/2015-toyota-aqua-hatch?referringPage=SearchResults
Honda,Stream,2007,No,$600,"141,453",," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290247/2007-honda-stream-station-wagon?referringPage=SearchResults
Toyota,Echo,2005,No,$600,"236,535",," Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290272/2005-toyota-echo-hatch?referringPage=SearchResults
